date,ibe_battery_prod,ibe_hydro-reservoir_prod,ibe_hydro-pumped_prod,ibe_battery_cons,ibe_hydro-reservoir_cons,ibe_hydro-pumped_cons,ibe_battery_soc,ibe_hydro-reservoir_soc,ibe_hydro-pumped_soc
2025-01-04 17:00:00,200.0,15179.0,10119.0,-0.0,-0.0,-0.0,109.47368420999999,12748145.337770002,6056345.346960001
2025-01-04 18:00:00,103.99999999923999,15179.0,10119.0,-0.0,-0.0,-0.0,-0.0,12732967.337770002,6046227.346960001
2025-01-04 19:00:00,0.0,15179.0,10119.0,-0.0,-0.0,-0.0,-0.0,12717789.337770002,6036109.346960001
2025-01-04 20:00:00,0.0,15179.0,10119.0,-0.0,-0.0,-0.0,-0.0,12702611.337770002,6025991.346960001
2025-01-04 21:00:00,0.0,15179.0,10119.0,-0.0,-0.0,-0.0,-0.0,12687433.337770002,6015873.346960001
2025-01-04 22:00:00,0.0,15179.0,10119.0,-0.0,-0.0,-0.0,-0.0,12672255.337770002,6005755.346960001
2025-01-04 23:00:00,0.0,13632.409799999998,10119.0,-0.0,-0.0,-0.0,-0.0,12658623.927970001,5995637.346960001
2025-01-05 00:00:00,0.0,11992.83164,10119.0,-0.0,-0.0,-0.0,-0.0,12646632.096330002,5985519.346960001
2025-01-05 01:00:00,0.0,9839.55745,10119.0,-0.0,-0.0,-0.0,-0.0,12636793.538880002,5975401.346960001
2025-01-05 02:00:00,0.0,8502.34145,10119.0,-0.0,-0.0,-0.0,-0.0,12628292.197430002,5965283.346960001
2025-01-05 03:00:00,0.0,6927.430849999997,10119.0,-0.0,-0.0,-0.0,-0.0,12621365.766580002,5955165.346960001
2025-01-05 04:00:00,0.0,5978.496980000002,10119.0,-0.0,-0.0,-0.0,-0.0,12615388.269600002,5945047.346960001
2025-01-05 05:00:00,0.0,5193.803810000003,10119.0,-0.0,-0.0,-0.0,-0.0,12610195.465790002,5934929.346960001
2025-01-05 06:00:00,0.0,5669.43499,10119.0,-0.0,-0.0,-0.0,-0.0,12604527.030800002,5924811.346960001
2025-01-05 07:00:00,0.0,6836.898870000001,10119.0,-0.0,-0.0,-0.0,-0.0,12597691.131930001,5914693.346960001
2025-01-05 08:00:00,0.0,7948.813869999998,10119.0,-0.0,-0.0,-0.0,-0.0,12589743.318060001,5904575.346960001
2025-01-05 09:00:00,0.0,5458.525190000002,10119.0,-0.0,-0.0,-0.0,-0.0,12584285.792870002,5894457.346960001
2025-01-05 10:00:00,0.0,191.48464000000058,10119.0,-0.0,-0.0,-0.0,-0.0,12584095.308230001,5884339.346960001
2025-01-05 11:00:00,0.0,0.0,6266.758460000001,-0.0,-0.0,-0.0,-0.0,12584096.308230001,5878073.588500001
2025-01-05 12:00:00,0.0,0.0,3542.115809999998,-0.0,-0.0,-0.0,-0.0,12584097.308230001,5874532.47269
2025-01-05 13:00:00,0.0,0.0,1226.43183,-0.0,-0.0,-0.0,-0.0,12584098.308230001,5873307.04086
2025-01-05 14:00:00,0.0,0.0,2603.18795,-0.0,-0.0,-0.0,-0.0,12584099.308230001,5870704.85291
2025-01-05 15:00:00,0.0,0.0,4519.179249999999,-0.0,-0.0,-0.0,-0.0,12584100.308230001,5866186.67366
2025-01-05 16:00:00,0.0,0.0,5816.041480000002,-0.0,-0.0,-0.0,-0.0,12584101.308230001,5860371.63218
2025-01-05 17:00:00,0.0,0.0,8840.14445,-0.0,-0.0,-0.0,-0.0,12584102.308230001,5851532.48773
2025-01-05 18:00:00,0.0,331.5284499999998,10119.0,-0.0,-0.0,-0.0,-0.0,12583771.779780002,5841414.48773
2025-01-05 19:00:00,0.0,1591.225910000001,10119.0,-0.0,-0.0,-0.0,-0.0,12582181.553870002,5831296.48773
2025-01-05 20:00:00,0.0,1842.009180000001,10119.0,-0.0,-0.0,-0.0,-0.0,12580340.544690002,5821178.48773
2025-01-05 21:00:00,0.0,943.1335900000013,10119.0,-0.0,-0.0,-0.0,-0.0,12579398.411100002,5811060.48773
2025-01-05 22:00:00,0.0,15179.0,-8616.374879999998,-0.0,-0.0,8616.374879999998,-0.0,12564220.411100002,5819677.86261
2025-01-05 23:00:00,0.0,0.0,4341.8782599999995,-0.0,-0.0,-0.0,-0.0,12564221.411100002,5815336.9843500005
2025-01-06 00:00:00,0.0,12180.65067,-10119.0,-0.0,-0.0,10119.0,-0.0,12552041.760430003,5825456.9843500005
2025-01-06 01:00:00,0.0,0.0,542.6099999999992,-0.0,-0.0,-0.0,-0.0,12552042.760430003,5824915.37435
2025-01-06 02:00:00,0.0,10689.663929999999,-10119.0,-0.0,-0.0,10119.0,-0.0,12541354.096500002,5835035.37435
2025-01-06 03:00:00,0.0,10382.917070000001,-10119.0,-0.0,-0.0,10119.0,-0.0,12530972.179430002,5845155.37435
2025-01-06 04:00:00,0.0,9638.406529999998,-10119.0,-0.0,-0.0,10119.0,-0.0,12521334.772900002,5855275.37435
2025-01-06 05:00:00,0.0,9737.74767,-10119.0,-0.0,-0.0,10119.0,-0.0,12511598.025230002,5865395.37435
2025-01-06 06:00:00,0.0,11035.453160000001,-10119.0,-0.0,-0.0,10119.0,-0.0,12500563.572070003,5875515.37435
2025-01-06 07:00:00,0.0,12740.20659,-10119.0,-0.0,-0.0,10119.0,-0.0,12487824.365480002,5885635.37435
2025-01-06 08:00:00,0.0,15179.0,-10011.849709999999,-0.0,-0.0,10011.849709999999,-0.0,12472646.365480002,5895648.22406
2025-01-06 09:00:00,0.0,11569.088039999999,-10119.0,-0.0,-0.0,10119.0,-0.0,12461078.277440002,5905768.22406
2025-01-06 10:00:00,0.0,0.0,-3045.142649999999,-0.0,-0.0,3045.142649999999,-0.0,12461079.277440002,5908814.36671
